"X","Cancer_type","Pathway","Gene"
2874,"LUAD","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
2875,"LUAD","Phosphatidylinositol Phosphate Metabolism","INPP5D"
2876,"LUAD","Phosphatidylinositol Phosphate Metabolism","INPP5E"
2877,"LUAD","Phosphatidylinositol Phosphate Metabolism","PI4KA"
2878,"LUAD","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
2879,"LUAD","Phosphatidylinositol Phosphate Metabolism","ERBB2"
2880,"LUAD","Phosphatidylinositol Phosphate Metabolism",""
2881,"LUAD","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
2882,"LUAD","Phosphatidylinositol Phosphate Metabolism","PTEN"
2883,"LUAD","Phosphatidylinositol Phosphate Metabolism","PLCB1"
2884,"LUAD","Nucleotide Excision Repair",""
2885,"LUAD","Nucleotide Excision Repair",""
2886,"LUAD","Nucleotide Excision Repair","ERCC2"
2887,"LUAD","Nucleotide Excision Repair",""
2888,"LUAD","Nucleotide Excision Repair",""
2889,"LUAD","Nucleotide Excision Repair","POLR1A"
2890,"LUAD","Nucleotide Excision Repair",""
2891,"LUAD","Nucleotide Excision Repair","ERCC4"
2892,"LUAD","Nucleotide Excision Repair","PAPD7"
2893,"LUAD","Nucleotide Excision Repair","POLE"
2894,"LUAD","Nucleotide Excision Repair","LIG1"
2895,"LUAD","Fatty Acid Biosynthesis","ACACA"
2896,"LUAD","Fatty Acid Biosynthesis","FASN"
2897,"LUAD","Warburg Effect","SLC2A2"
2898,"LUAD","Warburg Effect","HK2"
2899,"LUAD","Warburg Effect","GPI"
2900,"LUAD","Warburg Effect","PFKL"
2901,"LUAD","Warburg Effect","ALDOB"
2902,"LUAD","Warburg Effect","GAPDH"
2903,"LUAD","Warburg Effect","PGK1"
2904,"LUAD","Warburg Effect","PGAM2"
2905,"LUAD","Warburg Effect","ENO1"
2906,"LUAD","Warburg Effect","PKLR"
2907,"LUAD","Warburg Effect","MPC1"
2908,"LUAD","Warburg Effect","PC"
2909,"LUAD","Warburg Effect","PDHA1"
2910,"LUAD","Warburg Effect","PDHB"
2911,"LUAD","Warburg Effect","DLAT"
2912,"LUAD","Warburg Effect","DLD"
2913,"LUAD","Warburg Effect","CS"
2914,"LUAD","Warburg Effect","LDHAL6A"
2915,"LUAD","Warburg Effect","SLC16A1"
2916,"LUAD","Warburg Effect","ACO2"
2917,"LUAD","Warburg Effect","IDH3A"
2918,"LUAD","Warburg Effect","IDH3B"
2919,"LUAD","Warburg Effect","IDH3G"
2920,"LUAD","Warburg Effect","OGDH"
2921,"LUAD","Warburg Effect","DLST"
2922,"LUAD","Warburg Effect","SUCLG1"
2923,"LUAD","Warburg Effect","SUCLG2"
2924,"LUAD","Warburg Effect","SDHA"
2925,"LUAD","Warburg Effect","SDHB"
2926,"LUAD","Warburg Effect","SDHC"
2927,"LUAD","Warburg Effect","SDHD"
2928,"LUAD","Warburg Effect","FH"
2929,"LUAD","Warburg Effect","MDH1"
2930,"LUAD","Warburg Effect","GLUD1"
2931,"LUAD","Warburg Effect","GLS2"
2932,"LUAD","Warburg Effect","SLC1A5"
2933,"LUAD","Warburg Effect","TALDO1"
2934,"LUAD","Warburg Effect","TKT"
2935,"LUAD","Warburg Effect","RPIA"
2936,"LUAD","Warburg Effect","PGLS"
2937,"LUAD","Warburg Effect","G6PD"
2938,"LUAD","Warburg Effect","PGD"
2939,"LUAD","Warburg Effect",""
2940,"LUAD","Warburg Effect","ACO1"
2941,"LUAD","Warburg Effect","IDH1"
2942,"LUAD","Warburg Effect","PKM"
2943,"LUAD","Glutamate Metabolism","PIG59"
2944,"LUAD","Glutamate Metabolism","GLS2"
2945,"LUAD","Glutamate Metabolism","GFPT1"
2946,"LUAD","Glutamate Metabolism","GNPNAT1"
2947,"LUAD","Glutamate Metabolism","NAGK"
2948,"LUAD","Glutamate Metabolism","CAD"
2949,"LUAD","Glutamate Metabolism","CPS1"
2950,"LUAD","Glutamate Metabolism","PPAT"
2951,"LUAD","Glutamate Metabolism","GMPS"
2952,"LUAD","Glutamate Metabolism","NADSYN1"
2953,"LUAD","Glutamate Metabolism","ALDH4A1"
2954,"LUAD","Glutamate Metabolism","GPT"
2955,"LUAD","Glutamate Metabolism","GLUD1"
2956,"LUAD","Glutamate Metabolism","GOT2"
2957,"LUAD","Glutamate Metabolism","EARS2"
2958,"LUAD","Glutamate Metabolism","GCLC"
2959,"LUAD","Glutamate Metabolism","GCLM"
2960,"LUAD","Glutamate Metabolism","GSS"
2961,"LUAD","Glutamate Metabolism","GSR"
2962,"LUAD","Glutamate Metabolism","GAD1"
2963,"LUAD","Glutamate Metabolism","ABAT"
2964,"LUAD","Glutamate Metabolism","ALDH5A1"
2965,"LUAD","Glutamate Metabolism","QARS"
2966,"LUAD","Inositol Metabolism","ISYNA1"
2967,"LUAD","Inositol Metabolism","IPMK"
2968,"LUAD","Inositol Metabolism","ITPK1"
2969,"LUAD","Inositol Metabolism","IPPK"
2970,"LUAD","Inositol Metabolism","MINPP1"
2971,"LUAD","Inositol Metabolism","ITPKA"
2972,"LUAD","Inositol Metabolism","INPP5J"
2973,"LUAD","Inositol Metabolism","INPP1"
2974,"LUAD","Inositol Metabolism","IMPA1"
2975,"LUAD","Inositol Metabolism","MIOX"
2976,"LUAD","Inositol Metabolism","INPP4A"
2977,"LUAD","Inositol Metabolism","PLCD3"
2978,"LUAD","Inositol Metabolism","PIKFYVE"
2979,"LUAD","Inositol Metabolism","FIG4"
2980,"LUAD","Inositol Metabolism","VAC14"
2981,"LUAD","Inositol Metabolism","PI4KA"
2982,"LUAD","Inositol Metabolism","PIK3C3"
2983,"LUAD","Inositol Metabolism","PIK3R4"
2984,"LUAD","Inositol Metabolism",""
2985,"LUAD","Inositol Metabolism","AMBRA1"
2986,"LUAD","Inositol Metabolism","PIK3CA"
2987,"LUAD","Inositol Metabolism","PTPMT1"
2988,"LUAD","Mitochondrial Electron Transport Chain","SLC37A4"
2989,"LUAD","Mitochondrial Electron Transport Chain","SLC25A4"
2990,"LUAD","Mitochondrial Electron Transport Chain","ATP5G2"
2991,"LUAD","Mitochondrial Electron Transport Chain","ATP5A1"
2992,"LUAD","Mitochondrial Electron Transport Chain","ATP5E"
2993,"LUAD","Mitochondrial Electron Transport Chain","ATP5B"
2994,"LUAD","Mitochondrial Electron Transport Chain","ATP5F1"
2995,"LUAD","Mitochondrial Electron Transport Chain","ATP5D"
2996,"LUAD","Mitochondrial Electron Transport Chain","ATP5C1"
2997,"LUAD","Mitochondrial Electron Transport Chain","MT-ATP6"
2998,"LUAD","Mitochondrial Electron Transport Chain","GPD2"
2999,"LUAD","Mitochondrial Electron Transport Chain","NDUFA1"
3000,"LUAD","Mitochondrial Electron Transport Chain","SDHA"
3001,"LUAD","Mitochondrial Electron Transport Chain","SDHB"
3002,"LUAD","Mitochondrial Electron Transport Chain","SDHC"
3003,"LUAD","Mitochondrial Electron Transport Chain","SDHD"
3004,"LUAD","Mitochondrial Electron Transport Chain","CYCS"
3005,"LUAD","Mitochondrial Electron Transport Chain","UQCRC1"
3006,"LUAD","Mitochondrial Electron Transport Chain","MT-CO1"
3007,"LUAD","Mitochondrial Electron Transport Chain","GPD1"
3008,"LUAD","Mitochondrial Electron Transport Chain","GAPDH"
3009,"LUAD","Degradation of Superoxides","SOD3"
3010,"LUAD","Degradation of Superoxides","SOD1"
3011,"LUAD","Degradation of Superoxides","SOD2"
3012,"LUAD","Degradation of Superoxides","CAT"
3013,"LUAD","Degradation of Superoxides","TYRP1"
3014,"LUSC","Purine Metabolism","NUDT2"
3015,"LUSC","Purine Metabolism","NME6"
3016,"LUSC","Purine Metabolism","ENTPD5"
3017,"LUSC","Purine Metabolism","ENTPD8"
3018,"LUSC","Purine Metabolism","GUK1"
3019,"LUSC","Purine Metabolism","NT5C2"
3020,"LUSC","Purine Metabolism","DGUOK"
3021,"LUSC","Purine Metabolism","APRT"
3022,"LUSC","Purine Metabolism","PNP"
3023,"LUSC","Purine Metabolism","HPRT1"
3024,"LUSC","Purine Metabolism","GDA"
3025,"LUSC","Purine Metabolism","NUDT5"
3026,"LUSC","Purine Metabolism","PRPS1L1"
3027,"LUSC","Purine Metabolism","PPAT"
3028,"LUSC","Purine Metabolism","GART"
3029,"LUSC","Purine Metabolism","PFAS"
3030,"LUSC","Purine Metabolism","PAICS"
3031,"LUSC","Purine Metabolism","ADSL"
3032,"LUSC","Purine Metabolism","ATIC"
3033,"LUSC","Purine Metabolism","ITPA"
3034,"LUSC","Purine Metabolism","GMPS"
3035,"LUSC","Purine Metabolism","IMPDH1"
3036,"LUSC","Purine Metabolism","GMPR"
3037,"LUSC","Purine Metabolism","XDH"
3038,"LUSC","Purine Metabolism","ADSS"
3039,"LUSC","Purine Metabolism","AMPD1"
3040,"LUSC","Purine Metabolism","ADA"
3041,"LUSC","Purine Metabolism","AK1"
3042,"LUSC","Purine Metabolism","ATAD1"
3043,"LUSC","Purine Metabolism","PDE4D"
3044,"LUSC","Purine Metabolism","ADCY10"
3045,"LUSC","Purine Metabolism","GUCY1A2"
3046,"LUSC","Purine Metabolism","GUCY1B3"
3047,"LUSC","Purine Metabolism","PDE10A"
3048,"LUSC","Purine Metabolism","TXN"
3049,"LUSC","Purine Metabolism","RRM1"
3050,"LUSC","Purine Metabolism","RRM2"
3051,"LUSC","Purine Metabolism","HPRT1"
3052,"LUSC","Purine Metabolism","IMPDH1"
3053,"LUSC","Purine Metabolism","GMPS"
3054,"LUSC","Purine Metabolism","TPMT"
3055,"LUSC","Purine Metabolism","RAC1"
3056,"LUSC","Purine Metabolism","AOX1"
3057,"LUSC","Purine Metabolism","PPAT"
3058,"LUSC","Purine Metabolism","SLC29A2"
3059,"LUSC","Purine Metabolism","SLC28A3"
3060,"LUSC","Purine Metabolism","SLC29A1"
3061,"LUSC","Purine Metabolism","SLC28A2"
3062,"LUSC","Purine Metabolism","ABCC5"
3063,"LUSC","Purine Metabolism","ABCC4"
3064,"LUSC","Purine Metabolism","XDH"
3065,"LUSC","Purine Metabolism","ADK"
3066,"LUSC","Sulfate_Sulfite Metabolism","SUOX"
3067,"LUSC","Sulfate_Sulfite Metabolism","PAPSS2"
3068,"LUSC","Sulfate_Sulfite Metabolism","BPNT1"
3069,"LUSC","Sulfate_Sulfite Metabolism","SULT1E1"
3070,"LUSC","Sulfate_Sulfite Metabolism","SULT1A1"
3071,"LUSC","Sulfate_Sulfite Metabolism","SULT2B1"
3072,"LUSC","Sulfate_Sulfite Metabolism","CHST11"
3073,"LUSC","Caffeine Metabolism","CYP1A2"
3074,"LUSC","Caffeine Metabolism","CYP2E1"
3075,"LUSC","Caffeine Metabolism","NAT2"
3076,"LUSC","Caffeine Metabolism","CYP3A4"
3077,"LUSC","Caffeine Metabolism","CYP2C8"
3078,"LUSC","Caffeine Metabolism","CYP2C9"
3079,"LUSC","Caffeine Metabolism","XDH"
3080,"LUSC","Caffeine Metabolism","CYP2A6"
3081,"LUSC","Phosphatidylinositol Phosphate Metabolism","CDIPT"
3082,"LUSC","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
3083,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
3084,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
3085,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
3086,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
3087,"LUSC","Phosphatidylinositol Phosphate Metabolism",""
3088,"LUSC","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
3089,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
3090,"LUSC","Phosphatidylinositol Phosphate Metabolism","FIG4"
3091,"LUSC","Phosphatidylinositol Phosphate Metabolism","VAC14"
3092,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
3093,"LUSC","Phosphatidylinositol Phosphate Metabolism","INPP4B"
3094,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
3095,"LUSC","Phosphatidylinositol Phosphate Metabolism","INPP5D"
3096,"LUSC","Phosphatidylinositol Phosphate Metabolism","INPP5E"
3097,"LUSC","Phosphatidylinositol Phosphate Metabolism","PI4KA"
3098,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
3099,"LUSC","Phosphatidylinositol Phosphate Metabolism","ERBB2"
3100,"LUSC","Phosphatidylinositol Phosphate Metabolism",""
3101,"LUSC","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
3102,"LUSC","Phosphatidylinositol Phosphate Metabolism","PTEN"
3103,"LUSC","Phosphatidylinositol Phosphate Metabolism","PLCB1"
3104,"LUSC","Nucleotide Excision Repair",""
3105,"LUSC","Nucleotide Excision Repair",""
3106,"LUSC","Nucleotide Excision Repair","ERCC2"
3107,"LUSC","Nucleotide Excision Repair",""
3108,"LUSC","Nucleotide Excision Repair",""
3109,"LUSC","Nucleotide Excision Repair","POLR1A"
3110,"LUSC","Nucleotide Excision Repair",""
3111,"LUSC","Nucleotide Excision Repair","ERCC4"
3112,"LUSC","Nucleotide Excision Repair","PAPD7"
3113,"LUSC","Nucleotide Excision Repair","POLE"
3114,"LUSC","Nucleotide Excision Repair","LIG1"
3115,"LUSC","Warburg Effect","SLC2A2"
3116,"LUSC","Warburg Effect","HK2"
3117,"LUSC","Warburg Effect","GPI"
3118,"LUSC","Warburg Effect","PFKL"
3119,"LUSC","Warburg Effect","ALDOB"
3120,"LUSC","Warburg Effect","GAPDH"
3121,"LUSC","Warburg Effect","PGK1"
3122,"LUSC","Warburg Effect","PGAM2"
3123,"LUSC","Warburg Effect","ENO1"
3124,"LUSC","Warburg Effect","PKLR"
3125,"LUSC","Warburg Effect","MPC1"
3126,"LUSC","Warburg Effect","PC"
3127,"LUSC","Warburg Effect","PDHA1"
3128,"LUSC","Warburg Effect","PDHB"
3129,"LUSC","Warburg Effect","DLAT"
3130,"LUSC","Warburg Effect","DLD"
3131,"LUSC","Warburg Effect","CS"
3132,"LUSC","Warburg Effect","LDHAL6A"
3133,"LUSC","Warburg Effect","SLC16A1"
3134,"LUSC","Warburg Effect","ACO2"
3135,"LUSC","Warburg Effect","IDH3A"
3136,"LUSC","Warburg Effect","IDH3B"
3137,"LUSC","Warburg Effect","IDH3G"
3138,"LUSC","Warburg Effect","OGDH"
3139,"LUSC","Warburg Effect","DLST"
3140,"LUSC","Warburg Effect","SUCLG1"
3141,"LUSC","Warburg Effect","SUCLG2"
3142,"LUSC","Warburg Effect","SDHA"
3143,"LUSC","Warburg Effect","SDHB"
3144,"LUSC","Warburg Effect","SDHC"
3145,"LUSC","Warburg Effect","SDHD"
3146,"LUSC","Warburg Effect","FH"
3147,"LUSC","Warburg Effect","MDH1"
3148,"LUSC","Warburg Effect","GLUD1"
3149,"LUSC","Warburg Effect","GLS2"
3150,"LUSC","Warburg Effect","SLC1A5"
3151,"LUSC","Warburg Effect","TALDO1"
3152,"LUSC","Warburg Effect","TKT"
3153,"LUSC","Warburg Effect","RPIA"
3154,"LUSC","Warburg Effect","PGLS"
3155,"LUSC","Warburg Effect","G6PD"
3156,"LUSC","Warburg Effect","PGD"
3157,"LUSC","Warburg Effect",""
3158,"LUSC","Warburg Effect","ACO1"
3159,"LUSC","Warburg Effect","IDH1"
3160,"LUSC","Warburg Effect","PKM"
3161,"LUSC","Glutamate Metabolism","PIG59"
3162,"LUSC","Glutamate Metabolism","GLS2"
3163,"LUSC","Glutamate Metabolism","GFPT1"
3164,"LUSC","Glutamate Metabolism","GNPNAT1"
3165,"LUSC","Glutamate Metabolism","NAGK"
3166,"LUSC","Glutamate Metabolism","CAD"
3167,"LUSC","Glutamate Metabolism","CPS1"
3168,"LUSC","Glutamate Metabolism","PPAT"
3169,"LUSC","Glutamate Metabolism","GMPS"
3170,"LUSC","Glutamate Metabolism","NADSYN1"
3171,"LUSC","Glutamate Metabolism","ALDH4A1"
3172,"LUSC","Glutamate Metabolism","GPT"
3173,"LUSC","Glutamate Metabolism","GLUD1"
3174,"LUSC","Glutamate Metabolism","GOT2"
3175,"LUSC","Glutamate Metabolism","EARS2"
3176,"LUSC","Glutamate Metabolism","GCLC"
3177,"LUSC","Glutamate Metabolism","GCLM"
3178,"LUSC","Glutamate Metabolism","GSS"
3179,"LUSC","Glutamate Metabolism","GSR"
3180,"LUSC","Glutamate Metabolism","GAD1"
3181,"LUSC","Glutamate Metabolism","ABAT"
3182,"LUSC","Glutamate Metabolism","ALDH5A1"
3183,"LUSC","Glutamate Metabolism","QARS"
3184,"LUSC","Inositol Metabolism","ISYNA1"
3185,"LUSC","Inositol Metabolism","IPMK"
3186,"LUSC","Inositol Metabolism","ITPK1"
3187,"LUSC","Inositol Metabolism","IPPK"
3188,"LUSC","Inositol Metabolism","MINPP1"
3189,"LUSC","Inositol Metabolism","ITPKA"
3190,"LUSC","Inositol Metabolism","INPP5J"
3191,"LUSC","Inositol Metabolism","INPP1"
3192,"LUSC","Inositol Metabolism","IMPA1"
3193,"LUSC","Inositol Metabolism","MIOX"
3194,"LUSC","Inositol Metabolism","INPP4A"
3195,"LUSC","Inositol Metabolism","PLCD3"
3196,"LUSC","Inositol Metabolism","PIKFYVE"
3197,"LUSC","Inositol Metabolism","FIG4"
3198,"LUSC","Inositol Metabolism","VAC14"
3199,"LUSC","Inositol Metabolism","PI4KA"
3200,"LUSC","Inositol Metabolism","PIK3C3"
3201,"LUSC","Inositol Metabolism","PIK3R4"
3202,"LUSC","Inositol Metabolism",""
3203,"LUSC","Inositol Metabolism","AMBRA1"
3204,"LUSC","Inositol Metabolism","PIK3CA"
3205,"LUSC","Inositol Metabolism","PTPMT1"
3206,"LUSC","Mitochondrial Electron Transport Chain","SLC37A4"
3207,"LUSC","Mitochondrial Electron Transport Chain","SLC25A4"
3208,"LUSC","Mitochondrial Electron Transport Chain","ATP5G2"
3209,"LUSC","Mitochondrial Electron Transport Chain","ATP5A1"
3210,"LUSC","Mitochondrial Electron Transport Chain","ATP5E"
3211,"LUSC","Mitochondrial Electron Transport Chain","ATP5B"
3212,"LUSC","Mitochondrial Electron Transport Chain","ATP5F1"
3213,"LUSC","Mitochondrial Electron Transport Chain","ATP5D"
3214,"LUSC","Mitochondrial Electron Transport Chain","ATP5C1"
3215,"LUSC","Mitochondrial Electron Transport Chain","MT-ATP6"
3216,"LUSC","Mitochondrial Electron Transport Chain","GPD2"
3217,"LUSC","Mitochondrial Electron Transport Chain","NDUFA1"
3218,"LUSC","Mitochondrial Electron Transport Chain","SDHA"
3219,"LUSC","Mitochondrial Electron Transport Chain","SDHB"
3220,"LUSC","Mitochondrial Electron Transport Chain","SDHC"
3221,"LUSC","Mitochondrial Electron Transport Chain","SDHD"
3222,"LUSC","Mitochondrial Electron Transport Chain","CYCS"
3223,"LUSC","Mitochondrial Electron Transport Chain","UQCRC1"
3224,"LUSC","Mitochondrial Electron Transport Chain","MT-CO1"
3225,"LUSC","Mitochondrial Electron Transport Chain","GPD1"
3226,"LUSC","Mitochondrial Electron Transport Chain","GAPDH"
3227,"LUSC","Degradation of Superoxides","SOD3"
3228,"LUSC","Degradation of Superoxides","SOD1"
3229,"LUSC","Degradation of Superoxides","SOD2"
3230,"LUSC","Degradation of Superoxides","CAT"
3231,"LUSC","Degradation of Superoxides","TYRP1"
3232,"MESO","Pyrimidine Metabolism","CAD"
3233,"MESO","Pyrimidine Metabolism","DHODH"
3234,"MESO","Pyrimidine Metabolism","UMPS "
3235,"MESO","Pyrimidine Metabolism","CANT1"
3236,"MESO","Pyrimidine Metabolism","CMPK2"
3237,"MESO","Pyrimidine Metabolism","NME6"
3238,"MESO","Pyrimidine Metabolism","AK3"
3239,"MESO","Pyrimidine Metabolism","ITPA"
3240,"MESO","Pyrimidine Metabolism","CTPS1"
3241,"MESO","Pyrimidine Metabolism","NT5C2"
3242,"MESO","Pyrimidine Metabolism","GDA"
3243,"MESO","Pyrimidine Metabolism","UPP2"
3244,"MESO","Pyrimidine Metabolism","DPYD"
3245,"MESO","Pyrimidine Metabolism","DPYS"
3246,"MESO","Pyrimidine Metabolism","UPB1"
3247,"MESO","Pyrimidine Metabolism","RRM2"
3248,"MESO","Pyrimidine Metabolism","RRM2B"
3249,"MESO","Pyrimidine Metabolism","UCKL1"
3250,"MESO","Pyrimidine Metabolism","CDA"
3251,"MESO","Pyrimidine Metabolism","TYMP"
3252,"MESO","Pyrimidine Metabolism","DCTD"
3253,"MESO","Pyrimidine Metabolism","TK1"
3254,"MESO","Pyrimidine Metabolism","TYMS"
3255,"MESO","Pyrimidine Metabolism","DUT"
3256,"MESO","Inositol Metabolism","ISYNA1"
3257,"MESO","Inositol Metabolism","IPMK"
3258,"MESO","Inositol Metabolism","ITPK1"
3259,"MESO","Inositol Metabolism","IPPK"
3260,"MESO","Inositol Metabolism","MINPP1"
3261,"MESO","Inositol Metabolism","ITPKA"
3262,"MESO","Inositol Metabolism","INPP5J"
3263,"MESO","Inositol Metabolism","INPP1"
3264,"MESO","Inositol Metabolism","IMPA1"
3265,"MESO","Inositol Metabolism","MIOX"
3266,"MESO","Inositol Metabolism","INPP4A"
3267,"MESO","Inositol Metabolism","PLCD3"
3268,"MESO","Inositol Metabolism","PIKFYVE"
3269,"MESO","Inositol Metabolism","FIG4"
3270,"MESO","Inositol Metabolism","VAC14"
3271,"MESO","Inositol Metabolism","PI4KA"
3272,"MESO","Inositol Metabolism","PIK3C3"
3273,"MESO","Inositol Metabolism","PIK3R4"
3274,"MESO","Inositol Metabolism",""
3275,"MESO","Inositol Metabolism","AMBRA1"
3276,"MESO","Inositol Metabolism","PIK3CA"
3277,"MESO","Inositol Metabolism","PTPMT1"
3278,"MESO","Nucleotide Excision Repair",""
3279,"MESO","Nucleotide Excision Repair",""
3280,"MESO","Nucleotide Excision Repair","ERCC2"
3281,"MESO","Nucleotide Excision Repair",""
3282,"MESO","Nucleotide Excision Repair",""
3283,"MESO","Nucleotide Excision Repair","POLR1A"
3284,"MESO","Nucleotide Excision Repair",""
3285,"MESO","Nucleotide Excision Repair","ERCC4"
3286,"MESO","Nucleotide Excision Repair","PAPD7"
3287,"MESO","Nucleotide Excision Repair","POLE"
3288,"MESO","Nucleotide Excision Repair","LIG1"
3289,"MESO","Phosphatidylinositol Phosphate Metabolism","CDIPT"
3290,"MESO","Phosphatidylinositol Phosphate Metabolism","SYNJ1"
3291,"MESO","Phosphatidylinositol Phosphate Metabolism","PIK3CA"
3292,"MESO","Phosphatidylinositol Phosphate Metabolism","PIK3R1"
3293,"MESO","Phosphatidylinositol Phosphate Metabolism","PIK3C3"
3294,"MESO","Phosphatidylinositol Phosphate Metabolism","PIK3R4"
3295,"MESO","Phosphatidylinositol Phosphate Metabolism",""
3296,"MESO","Phosphatidylinositol Phosphate Metabolism","AMBRA1"
3297,"MESO","Phosphatidylinositol Phosphate Metabolism","PIKFYVE"
3298,"MESO","Phosphatidylinositol Phosphate Metabolism","FIG4"
3299,"MESO","Phosphatidylinositol Phosphate Metabolism","VAC14"
3300,"MESO","Phosphatidylinositol Phosphate Metabolism","PIP5K1A"
3301,"MESO","Phosphatidylinositol Phosphate Metabolism","INPP4B"
3302,"MESO","Phosphatidylinositol Phosphate Metabolism","PIP4K2A"
3303,"MESO","Phosphatidylinositol Phosphate Metabolism","INPP5D"
3304,"MESO","Phosphatidylinositol Phosphate Metabolism","INPP5E"
3305,"MESO","Phosphatidylinositol Phosphate Metabolism","PI4KA"
3306,"MESO","Phosphatidylinositol Phosphate Metabolism","PIK3C2A"
3307,"MESO","Phosphatidylinositol Phosphate Metabolism","ERBB2"
3308,"MESO","Phosphatidylinositol Phosphate Metabolism",""
3309,"MESO","Phosphatidylinositol Phosphate Metabolism","PIK3CD"
3310,"MESO","Phosphatidylinositol Phosphate Metabolism","PTEN"
3311,"MESO","Phosphatidylinositol Phosphate Metabolism","PLCB1"
3312,"MESO","Warburg Effect","SLC2A2"
3313,"MESO","Warburg Effect","HK2"
3314,"MESO","Warburg Effect","GPI"
3315,"MESO","Warburg Effect","PFKL"
3316,"MESO","Warburg Effect","ALDOB"
3317,"MESO","Warburg Effect","GAPDH"
3318,"MESO","Warburg Effect","PGK1"
3319,"MESO","Warburg Effect","PGAM2"
3320,"MESO","Warburg Effect","ENO1"
3321,"MESO","Warburg Effect","PKLR"
3322,"MESO","Warburg Effect","MPC1"
3323,"MESO","Warburg Effect","PC"
3324,"MESO","Warburg Effect","PDHA1"
3325,"MESO","Warburg Effect","PDHB"
3326,"MESO","Warburg Effect","DLAT"
3327,"MESO","Warburg Effect","DLD"
3328,"MESO","Warburg Effect","CS"
3329,"MESO","Warburg Effect","LDHAL6A"
3330,"MESO","Warburg Effect","SLC16A1"
3331,"MESO","Warburg Effect","ACO2"
3332,"MESO","Warburg Effect","IDH3A"
3333,"MESO","Warburg Effect","IDH3B"
3334,"MESO","Warburg Effect","IDH3G"
3335,"MESO","Warburg Effect","OGDH"
3336,"MESO","Warburg Effect","DLST"
3337,"MESO","Warburg Effect","SUCLG1"
3338,"MESO","Warburg Effect","SUCLG2"
3339,"MESO","Warburg Effect","SDHA"
3340,"MESO","Warburg Effect","SDHB"
3341,"MESO","Warburg Effect","SDHC"
3342,"MESO","Warburg Effect","SDHD"
3343,"MESO","Warburg Effect","FH"
3344,"MESO","Warburg Effect","MDH1"
3345,"MESO","Warburg Effect","GLUD1"
3346,"MESO","Warburg Effect","GLS2"
3347,"MESO","Warburg Effect","SLC1A5"
3348,"MESO","Warburg Effect","TALDO1"
3349,"MESO","Warburg Effect","TKT"
3350,"MESO","Warburg Effect","RPIA"
3351,"MESO","Warburg Effect","PGLS"
3352,"MESO","Warburg Effect","G6PD"
3353,"MESO","Warburg Effect","PGD"
3354,"MESO","Warburg Effect",""
3355,"MESO","Warburg Effect","ACO1"
3356,"MESO","Warburg Effect","IDH1"
3357,"MESO","Warburg Effect","PKM"
3358,"NBL","Inositol Metabolism","ISYNA1"
3359,"NBL","Inositol Metabolism","IPMK"
3360,"NBL","Inositol Metabolism","ITPK1"
3361,"NBL","Inositol Metabolism","IPPK"
3362,"NBL","Inositol Metabolism","MINPP1"
3363,"NBL","Inositol Metabolism","ITPKA"
3364,"NBL","Inositol Metabolism","INPP5J"
3365,"NBL","Inositol Metabolism","INPP1"
3366,"NBL","Inositol Metabolism","IMPA1"
3367,"NBL","Inositol Metabolism","MIOX"
3368,"NBL","Inositol Metabolism","INPP4A"
3369,"NBL","Inositol Metabolism","PLCD3"
3370,"NBL","Inositol Metabolism","PIKFYVE"
3371,"NBL","Inositol Metabolism","FIG4"
3372,"NBL","Inositol Metabolism","VAC14"
3373,"NBL","Inositol Metabolism","PI4KA"
3374,"NBL","Inositol Metabolism","PIK3C3"
3375,"NBL","Inositol Metabolism","PIK3R4"
3376,"NBL","Inositol Metabolism",""
3377,"NBL","Inositol Metabolism","AMBRA1"
3378,"NBL","Inositol Metabolism","PIK3CA"
3379,"NBL","Inositol Metabolism","PTPMT1"
3380,"OS","Pyrimidine Metabolism","CAD"
3381,"OS","Pyrimidine Metabolism","DHODH"
3382,"OS","Pyrimidine Metabolism","UMPS "
3383,"OS","Pyrimidine Metabolism","CANT1"
3384,"OS","Pyrimidine Metabolism","CMPK2"
3385,"OS","Pyrimidine Metabolism","NME6"
3386,"OS","Pyrimidine Metabolism","AK3"
3387,"OS","Pyrimidine Metabolism","ITPA"
3388,"OS","Pyrimidine Metabolism","CTPS1"
3389,"OS","Pyrimidine Metabolism","NT5C2"
3390,"OS","Pyrimidine Metabolism","GDA"
3391,"OS","Pyrimidine Metabolism","UPP2"
3392,"OS","Pyrimidine Metabolism","DPYD"
3393,"OS","Pyrimidine Metabolism","DPYS"
3394,"OS","Pyrimidine Metabolism","UPB1"
