"Pathway","Genes","Category"
"exonucleolytic catabolism of deadenylated mRNA","DCPS,CNOT8,EXOSC9,CNOT7,DIS3,NT5C3B,EXOSC2,EXOSC8,EXOSC5,EXOSC3,DCP2,EXOSC7,CNOT6","GO"
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","ERI3,EXOSC9,EXOSC2,EXOSC8,ERI2,EXOSC3,EXOSC7,EXOSC10,ERI1","GO"
"extracellular polysaccharide biosynthetic process","HAS3,HAS2,HAS1","GO"
"eye pigment biosynthetic process","GPR143,TYR","GO"
"farnesol catabolic process","AKR1C3,AKR1B10","GO"
"farnesyl diphosphate biosynthetic process","GGPS1,FDPS","GO"
"farnesyl diphosphate biosynthetic process, mevalonate pathway","HMGCS2,HMGCS1","GO"
"farnesyl diphosphate catabolic process","PLPP6","GO"
"farnesyl diphosphate metabolic process","FDFT1","GO"
"fatty acid alpha-oxidation","SLC25A17,HAO1,HACL1,PEX13,SLC27A2,ILVBL,PHYH,HAO2","GO"
"fatty acid beta-oxidation","SLC25A17,ACAA2,DECR1,ECI2,HADH,SCP2,ABCD3,HSD17B10,ACADS,HSD17B4,ECHS1,PEX5,HADHB,ECHDC2,ABCD4,ABCD2,CROT,PPARD,ECI1,HADHA,MTLN,ACAD10,SLC27A2,CPT1A,CPT2,PEX7,CPT1B,CPT1C,ABCD1,PEX2,ACADM,ADIPOQ,SESN2,ALDH1L2,ACAD11,ACAT2,EHHADH,MCAT,AUH,ECHDC1,ACAA1,ECH1,ACAT1,BDH2,LEP","GO"
"fatty acid beta-oxidation using acyl-CoA dehydrogenase","ETFDH,ACADVL,GCDH,ACADS,ETFB,IVD,ACAD10,ETFA,ACADL,ACADM,ACAD11","GO"
"fatty acid beta-oxidation using acyl-CoA oxidase","AMACR,SCP2,CRAT,ACOX3,CROT,ACOX2,ACOX1,EHHADH,DECR2,ACAA1,ACOXL,ACOT8","GO"
"fatty acid biosynthetic process","PLA2G2C,PRKAG2,PRKAB2,FASN,HTD2,XBP1,PRKAG3,MLYCD,ABCD3,MGLL,ACLY,BRCA1,LIPC,ACSM2A,ACSM1,ACACB,HSD17B8,PRKAA2,PRKAB1,PECR,ACOT4,NDUFAB1,FADS6,PLA2G1B,LPL,ACSF3,CBR4,FA2H,ACSM5,LIPG,ACSM3,ELOVL4,OXSM,PRKAA1,ACACA,MCAT,PRKAG1,ACSM4,ACSM2B,MECR,ACSM6","GO"
"fatty acid catabolic process","FAAH,PPARD,LPIN1,PLA2G15,LPIN2,NUDT19,ACOX1,ACOT7L,ACOT7,LPIN3,ACOT8","GO"
"fatty acid elongation","HACD4,HACD2,HACD1,ABCD1,TECR,HACD3","GO"
"fatty acid elongation, monounsaturated fatty acid","ELOVL2,ELOVL6,ELOVL7,ELOVL5,ELOVL4,ELOVL1,ELOVL3","GO"
"fatty acid elongation, polyunsaturated fatty acid","ELOVL2,ELOVL6,ELOVL7,ELOVL5,ELOVL4,ELOVL1,ELOVL3","GO"
"fatty acid elongation, saturated fatty acid","HSD17B12,ELOVL2,ELOVL6,ELOVL7,ELOVL5,ELOVL4,ELOVL1,ELOVL3","GO"
"fatty acid metabolic process","ECHDC3,ACOT6,DBI,TH,SNCA,FABP2,LYPLA1,HACL1,FASN,ACOT2,PEDS1,C3,HSD17B10,ABHD5,MORC2,PRKAR2B,PLA2G4D,CYP4F12,CYP1A1,CD36,ABCB11,PPARG,CROT,ACBD4,PPARD,ACSL3,ANGPTL3,ACSF2,CRYL1,SGPL1,LYPLA2,ACBD7,BAAT,CPT1A,ACBD5,ACOT4,PM20D1,PCCB,PCCA,CYP4A11,AASDH,CPT1B,ACADSB,SLC27A4,ACSBG2,CPT1C,THEM5,GPAM,LPL,NAAA,ACSF3,PPARA,CYP4B1,LIPA,ACOT12,AOAH,FA2H,MSMO1,CYP2J2,GPAT4,GPAT2,ACOT1,TNXB,GNPAT,UCP3,MBLAC2,CYP4F11,GGT5,DECR2,GGT1,THEM4,PNPLA8,PLA2G5,ALKBH7,PER2,ASAH1,ANKRD23,MECR,UGT1A8,ACOT11,AACS,ACSL4,ALDH3A2","GO"
"fatty acid omega-oxidation","ADH7,ADH5,ADH4,CYP4V2,CYP4F2","GO"
"fatty acid oxidation","MAPK14,ADIPOR1,MLYCD,ACSM1,ACACB,PPARGC1A,ALOX12,ADIPOQ,CYGB,ACOX1,HAO2,PRKAA1,ALOX15,ADIPOR2","GO"
"fatty acid primary amide biosynthetic process","PAM","GO"
"fatty-acyl-CoA biosynthetic process","HTD2,PPT2,GCDH,SLC27A2,SLC25A1,ACACA,PPT1","GO"
"fatty-acyl-CoA catabolic process","FITM2","GO"
"flap endonuclease activity","EXO1,FEN1","GO"
"flavin adenine dinucleotide biosynthetic process","SLC52A3,RFK,SLC52A2","GO"
"flavin adenine dinucleotide catabolic process","VCP","GO"
"flavone metabolic process","UGT1A1,UGT1A9,UGT1A8,UGT1A10,UGT1A7","GO"
"flavonoid glucuronidation","UGT1A1,UGT1A3,UGT1A9,UGT1A8,UGT1A7","GO"
"flavonoid metabolic process","SULT1B1,SULT1A1,CYP1A1,SULT1A3,SULT1C4","GO"
"folic acid catabolic process","PM20D2,MTHFS","GO"
"folic acid metabolic process","DHFR,SLC25A32,SLC19A1,MTHFD2,DHFR2,FOLR1,FPGS,ALDH1L2,MTRR,SHMT1,MTHFS,MTHFD2L,SLC46A1","GO"
"folic acid-containing compound biosynthetic process","MTHFS","GO"
"folic acid-containing compound metabolic process","FTCD,FOLH1,MTHFD1L,FPGS","GO"
"formaldehyde biosynthetic process","KDM3A","GO"
"formaldehyde catabolic process","ESD,ADH5,ADH4","GO"
"formate metabolic process","MTHFD1L,MTHFS","GO"
"formation of cytoplasmic translation initiation complex","EIF3L,EIF3J,EIF3G,EIF3C,EIF3F,EIF3A,EIF5,EIF3K,EIF3E,EIF3B,EIF3CL,EIF3M,EIF3I,EIF3H,EIF3D","GO"
"formation of translation preinitiation complex","DENR,MCTS1,DHX29,EIF2S3B,EIF2S3,MCTS2,EIF2S2,EIF2D","GO"
"fructokinase activity","HK3,HK2,GCK,HKDC1,HK1","GO"
"fructosamine catabolic process","ALDH1A1","GO"
"fructosamine metabolic process","FN3K","GO"
"fructose 1,6-bisphosphate metabolic process","PFKL,PFKM,PFKP,ALDOA,FBP2,FBP1,ALDOC,ALDOB","GO"
"fructose 2,6-bisphosphate metabolic process","PFKFB3,PFKFB4,PFKFB1,PFKFB2,TIGAR","GO"
"fructose 6-phosphate metabolic process","TALDO1,HK3,HK2,GFPT1,PFKL,GFPT2,PFKM,PFKP,FBP2,FBP1,HK1","GO"
"fructose biosynthetic process","AKR1B1,SORD","GO"
"fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate","GLYCTK,ALDOB,TKFC","GO"
"fructose metabolic process","PFKFB3,PFKFB4,KHK,ALDOA,FBP2,PFKFB1,FBP1,PFKFB2,ALDOC,ALDOB","GO"
"fructoselysine metabolic process","FN3K","GO"
"fucose metabolic process","POFUT2,B3GLCT,FUOM,FUCA2,FPGT,FUCA1,POFUT1","GO"
"fucosylation","FUT4,FUT7,FUT5,FUOM,FUT10,FUT9,FUT1,FUT2,FUT11,FUT3","GO"
"fumarate metabolic process","FH","GO"
"futile creatine cycle","CKB,ALPL","GO"
"galactitol metabolic process","GALK1","GO"
"galactokinase activity","GALK1,GALK2","GO"
"galactolipid catabolic process","PNLIPRP2","GO"
"galactose catabolic process","GLB1,GALE,GALK1,GALT","GO"
"galactose catabolic process via UDP-galactose","GALE,GALM,GALK1,GALT","GO"
"galactose metabolic process","CHST1,B4GALT1,GALM,GALK1,SLC35A2,GALK2,GALT","GO"
"galactosylceramide biosynthetic process","UGT8,B3GALT2,GAL3ST1,FA2H,B3GALT1,B4GALT3","GO"
"galactosylceramide catabolic process","GALC,GBA3","GO"
"galactosylceramide metabolic process","GAL3ST1","GO"
"gamma-aminobutyric acid biosynthetic process","ALDH1A1,SLC1A3,SLC38A1,ABAT,GAD1,GAD2","GO"
"gamma-aminobutyric acid catabolic process","ALDH5A1,ABAT","GO"
"gamma-aminobutyric acid metabolic process","PHGDH,ABAT","GO"
"ganglioside biosynthetic process","ST6GALNAC3,ST6GALNAC6,B4GALNT1,ST6GALNAC4,ST8SIA2,B3GALT4,ST6GALNAC5,ST3GAL5,ST8SIA3,ST8SIA4,ST8SIA6","GO"
"ganglioside biosynthetic process via lactosylceramide","ST3GAL2,B4GALT6,B4GALT5,C20orf173,ST3GAL3,ST3GAL1","GO"
"ganglioside catabolic process","HEXB,NEU3,NEU4,NEU2,HEXA,NEU1,GM2A","GO"
"ganglioside metabolic process","CLN6,NAGLU,ABCA2,ITGB8","GO"
"gene conversion","NUCKS1","GO"
"gene expression","SGCB,IL17A,KCNQ3,LAT,ERRFI1,RIGI,IL33,HOXA3,MLLT3,EOMES,RTN2,TBR1,RASAL2,PRDM1,IL7R,AKT1,SIX1,COMT,NPC2,KBTBD2,JUND,DDIT3,APOE,MECP2,PLEC,HADHB,SP7,PALS1,NKX2-1,CHD2,RNASEH2B,EGR2,IL2RG,SLC1A1,TUBA1A,NFIB,HIPK2,ENPP1,PVALB,ABCC6,GRM2,KLHL3,LRP5,LARGE1,LPAR3,HESX1,GNAT2,GRM3,SVEP1,TLR4,EXT1,SOD1,SCN2B,CNTN1,NFIA,LIF,GFAP,EDA,NOX4,TGM2,BAP1,ANGPT2,ELK1,CRB1,FOXO1,MESP1,EDNRA,ANKH,VPS54,TCIRG1,GATA6,SLC3A1,PDGFB,KRAS,LIPA,FGFR1,ADIPOQ,KCNJ8,RNF2,ZIC1,POMGNT1,RUNX2,TCF12,CUL4B,CUL3,SMO,MYD88,KPNA4,RHO,DOT1L,H3C1,NR3C1,BBS4,GOLPH3,NPC1,SGCG,GRB10,FMN1,PTGDS,IQGAP3,WNT3,SCNN1B,SOX17,WNK4,SOX4,DIAPH3,LTB,HSD17B1,BBS2,EDNRB,EXT2,DLX3,PRICKLE1,IKBKE,FOSL1,FOSL2,HS2ST1","GO"
"gene expression involved in extracellular matrix organization","PBXIP1","GO"
"general transcription initiation factor activity","TBPL1","GO"
"generation of catalytic spliceosome for first transesterification step","XAB2,YJU2","GO"
"generation of catalytic spliceosome for second transesterification step","PRPF18,ISY1","GO"
"generation of precursor metabolites and energy","COX6A1,UQCR11,PDX1,ATP5IF1,COX4I2,CEBPA,DHTKD1,ATP5F1B,MCHR1,DLST,AVP,GNPDA1,GIPR,CROT,PPARD,ASIP,ENPP1,PHKG2,PHKB,GCGR,COX7C,XYLB,GBE1,COX8A,FDXR,AVPR1A,ADRB3,COX6A2,OGDH,PPP1R2,COX4I1,THTPA,ADIPOQ,POMC,ACO2,CYB5R4,ACOX1,VGF,PHKA1,PHKA2,COX7A1,COX6C,SLC25A4,COX17,TREX1,FECH","GO"
"gentamycin metabolic process","SLC34A1","GO"
"geranyl diphosphate biosynthetic process","GGPS1,FDPS","GO"
"geranyl diphosphate metabolic process","PLPP6","GO"
"geranylgeranyl diphosphate biosynthetic process","GGPS1","GO"
"geranylgeranyl diphosphate catabolic process","PLPP6","GO"
"global genome nucleotide-excision repair","USP45,RNF111","GO"
"globoside biosynthetic process","A4GALT","GO"
"globoside biosynthetic process via lactosylceramide","ST3GAL2","GO"
"glucagon processing","DPP4","GO"
"glucocorticoid biosynthetic process","CYP11B1,CYP11A1,CRH,CYP21A2,CYP17A1,CYP11B2","GO"
"glucocorticoid catabolic process","YWHAH","GO"
"glucocorticoid metabolic process","MECP2,HSD11B2,CBR1,SERPINA6,NR3C1,STAR,APOA1","GO"
"glucokinase activity","HK3,HK2,GCK,HKDC1,HK1","GO"
"gluconeogenesis","SLC25A13,CRY1,GOT1,PGK1,PGK2,PCK2,SLC25A12,SLC37A4,CRTC2,LEPR,G6PC3,MDH1,SLC25A10,ENO3,G6PC1,PCK1,PPARGC1A,PGAM1,SLC25A11,PPP4R3B,PGAM2,FBP2,SLC25A1,GCG,ATF4,ATF3,PFKFB1,PPARA,KAT2B,PC,GPI,ENO1,GPD1,PGM1,KAT2A,WDR5,SLC39A14,RBP4,FBP1,SERPINA12,ALDOC,TPI1,SDS,G6PC2,ALDOB,MDH2,ENO2,PER2,C1QTNF12","GO"
"glucosamine catabolic process","GNPDA2,GNPDA1","GO"
"glucosamine metabolic process","PGM3","GO"
"glucose 1-phosphate metabolic process","UGP2","GO"
"glucose 6-phosphate metabolic process","HK3,HK2,G6PC3,G6PC1,GCK,HKDC1,G6PD,GPI,G6PC2,HK1","GO"
"glucose catabolic process","BAD,LRP5,GCK,TKTL1,PFKFB2,ADCY10","GO"
"glucose catabolic process to lactate via pyruvate","TP53,TIGAR","GO"
"glucose metabolic process","MAPK14,ERRFI1,OMA1,PIK3CA,TSTD1,HECTD4,HK3,HK2,PDK4,BRS3,SERP1,PDX1,SLC37A4,DLAT,PDHB,AKT1,KBTBD2,TNF,PDK3,PDK2,PDK1,AKT2,ONECUT1,PPARD,PGM2,GAA,H6PD,KCNJ11,GHRL,PDHA1,PCK1,GCK,CPT1A,SORD,KCNQ1,WDTC1,GAPDHS,APOD,IGF2,INS,NPY1R,HKDC1,LIPA,ADIPOQ,G6PD,GALM,DCXR,GAPDH,PGM1,BRAT1,PRKAA1,INPPL1,ADPGK,FABP5,HK1,IRS2,OAS1,PDHA2,LEP,TFAP2B,GDPGP1,PGM2L1","GO"
"glucosylceramide biosynthetic process","UGCG,FA2H","GO"
"glucosylceramide catabolic process","GBA1,GBA2,GBA3","GO"
"glucuronate catabolic process to xylulose 5-phosphate","XYLB,CRYL1,SORD,DCXR,AKR1A1","GO"
"glucuronoside catabolic process","GUSB,ABHD10","GO"
"glutamate biosynthetic process","GLUD2,GLS2,GLUD1,GLS","GO"
"glutamate catabolic process","GLUD2,GLUL,GLUD1,GAD1","GO"
"glutamate catabolic process to 2-oxoglutarate","GOT1,GOT2","GO"
"glutamate catabolic process to aspartate","GOT1,GOT2","GO"
"glutamate catabolic process via 2-oxoglutarate","ADHFE1","GO"
"glutamate decarboxylation to succinate","GAD1,GAD2","GO"
"glutamate metabolic process","GCLM,GCLC,GLUD2,GOT1,GOT2,ALDH5A1,TAT,AADAT,DGLUCY,FPGS,NAGS,MTHFS,GGT1,ALDH18A1","GO"
"glutamine biosynthetic process","GLUL,LGSN","GO"
"glutamine catabolic process","GLS2,ARHGAP11B,GLS","GO"
"glutamine family amino acid metabolic process","RIMKLA,RIMKLB","GO"
"glutamine metabolic process","GFPT1,PPAT,CAD,GFPT2,ASNS,CPS1,ADSS1,MECP2,SLC38A1,PHGDH,ASNSD1,SIRT4,GLUD1,GLYATL1,UCP2,CTPS2,GMPS,NIT2,CTPS1,PFAS,GLYATL1B","GO"
"glutaminyl-tRNA aminoacylation","QARS1,LARS1","GO"
"glutaminyl-tRNAGln biosynthesis via transamidation","QRSL1,GATC,GATB","GO"
"glutamyl-tRNA aminoacylation","EARS2,EPRS1","GO"
"glutathione biosynthetic process","GCLM,GCLC,MGST2,GSS,SLC1A1,SLC1A2,GGT6,GGT7,GGT3P,CHAC2,GGT5,GGT1,HAGH,CHAC1","GO"
"glutathione catabolic process","DPEP1,GGT7,GGTLC3,GGTLC2,GGTLC1,GGT3P,CHAC2,GGT5,GGT2P,GGT1,CHAC1","GO"
"glutathione deglycation","PARK7","GO"
"glutathione derivative biosynthetic process","GSTA1,GSTM1,GSTP1,AKR1A1","GO"
"glutathione metabolic process","GLO1,NAT8,OPLAH,GPX1,GPX4,DPEP1,GSTM2,GSTA1,ETHE1,GSTT1,MMACHC,SOD1,GSR,GSTZ1,SLC7A11,GSTT2,GSTK1,GSTA5,NDP,CTNS,G6PD,GSTO1,A0A1W2PRG0,GSTM3,GSTT4,GSTT2B,SOD2,GSTA4,GSTM1,GSTM4,GLRX2,GSTP1,GSTA2,ARL6IP5,HAGH,GSTA3,IDH1,GSTO2,HPGDS,GSTM5","GO"
"glutathione synthase activity","GSS","GO"
"glyceraldehyde-3-phosphate biosynthetic process","SLC25A10,PCK1,TPI1,TKT","GO"
"glyceraldehyde-3-phosphate metabolic process","TALDO1","GO"
"glycerol biosynthetic process","GOT1,PGP,LEP","GO"
"glycerol biosynthetic process from pyruvate","PCK2,PCK1","GO"
"glycerol catabolic process","GK,GK2,GK3,GPD2,GK5,TPI1,TKFC","GO"
"glycerol metabolic process","COQ2,GK,MOGAT2,GK2,GK3,ANGPTL3,PLA2G4A,DGAT2,MOGAT1,SHPK,COQ3,GK5,MOGAT3","GO"
"glycerol-3-phosphate biosynthetic process","GK,GK2,GK3,GK5","GO"
"glycerol-3-phosphate catabolic process","GPD1L,GPD1","GO"
"glycerol-3-phosphate metabolic process","GPAT3,GPAM,GPD2,GPD1,GPAT2","GO"
"glycerolipid metabolic process","GAL3ST1,AGK,DGKB,DGKQ,DGKA,GPD1,DGKZ,DGKG","GO"
"glycerophosphate shuttle","GPD2,GPD1","GO"
"glycerophospholipid biosynthetic process","FAR1,AJUBA,CLN3,HDHD5","GO"
"glycerophospholipid catabolic process","PNPLA6,PRDX6,PLA2G4D,PLA2G4A,ABHD12,PLA2G4E,GDPD3,ENPP6,GDE1,GDPD1,PLA2G4F,PLA2G4C,GPCPD1,PLA2G4B,SMPD4","GO"
"glycerophospholipid metabolic process","PLA2G15,PGP,PIP5K1A,PNPLA3","GO"
"glycine betaine biosynthetic process from choline","ALDH7A1,CHDH","GO"
"glycine biosynthetic process","HAO1,DHFR,DHFR2","GO"
"glycine biosynthetic process from serine","SHMT2,SHMT1","GO"
"glycine biosynthetic process, by transamination of glyoxylate","AGXT,AGXT2","GO"
"glycine catabolic process","AMT,GCSH,GLDC","GO"
"glycine decarboxylation via glycine cleavage system","AMT,GCSH,GLDC","GO"
"glycine metabolic process","GART,SHMT2,GLYAT,PHGDH,BAAT,NDP,SHMT1","GO"
"glycogen biosynthetic process","PPP1R3G,UGP2,PHKG1,NR1D1,PRKAG3,AKT1,GYG1,EPM2AIP1,PTGES3,AKT2,PGM2,PHKG2,GBE1,AGL,GYS1,GYG2,ACADM,NHLRC1,GYS2,PPP1R3C,PER2","GO"
"glycogen catabolic process","PYGM,PYGB,PFKM,PGM2,GAA,PHKG2,STBD1,G6PC1,AGL,PYGL","GO"
"glycogen debranching enzyme activity","AGL","GO"
"glycogen metabolic process","PRKAG2,UGP2,PPP1R3A,PCDH12,PYGM,LEPR,PPP1R2B,GNMT,PHKG2,PHKB,PPP1R3D,GBE1,PPP1R3E,G6PC1,IL6ST,PPP1CB,PPP1CA,STK40,PPP1R2,PPP1R3B,PYGL,PPP1CC,PHKA1,PHKA2,PPP1R1A,PPP1R3C,GSK3B,GSK3A,PPP1R2P1","GO"
"glycolate biosynthetic process","PARK7","GO"
"glycolate catabolic process","HAO1","GO"
"glycolate metabolic process","IGF1","GO"
"glycolipid biosynthetic process","ST3GAL2,SCCPDH,GAL3ST3,ST3GAL6,GBGT1,GAL3ST4,B3GNT5,ST3GAL4,GAL3ST2,ST8SIA6","GO"
"glycolipid catabolic process","NAGA,FUCA1","GO"
"glycolipid metabolic process","FUT2,ST6GALNAC4","GO"
"glycolysis from storage polysaccharide through glucose-1-phosphate","PFKM","GO"
"glycolytic process","HK3,HK2,OGDHL,LDHA,PGK1,PGK2,PFKL,DHTKD1,PRKAG3,HTR2A,PGAM4,PFKM,PKLR,ENO3,GCK,IER3,PGAM1,OGDH,GAPDHS,PGAM2,ENO4,UCP2,ALDOA,PFKFB1,HKDC1,LIPA,GPI,ENO1,GAPDH,PGM1,PFKFB2,ALDOC,PKM,TPI1,BPGM,ALDOB,ENO2,HK1,TIGAR,FKRP","GO"
"glycolytic process from galactose","GALK1","GO"
"glycolytic process through fructose-6-phosphate","PFKM","GO"
"glycolytic process through glucose-6-phosphate","ADPGK","GO"
"glycophagy","GABARAPL1,RB1CC1,GAA,STBD1,WIPI2,ATG2B,WDR45,ATG3,WIPI1,WDR45B,ATG12,ATG2A","GO"
"glycoprotein 6-alpha-L-fucosyltransferase activity","FUT8","GO"
"glycoprotein biosynthetic process","ST3GAL2,GCNT1,LARGE1,B4GALT5,TNIP1,GAL3ST4,GOLPH3,B3GNT6,ST3GAL4,GAL3ST2,A4GNT","GO"
"glycoprotein catabolic process","FBXO27,NGLY1,NEU4,NEU2,FBXO17,FBXO2,FBXO44,MANBA,STT3B,OGA,FBXO6,NCCRP1","GO"
"glycoprotein metabolic process","PORCN,SLC34A1,PCSK6,ST6GALNAC3,ST6GALNAC6,ERP44,GAL3ST4,ADAMTS13,OGA,ST8SIA3,ST8SIA6","GO"
"glycosaminoglycan biosynthetic process","XYLT2,HS3ST3A1,HS3ST3B1,XYLT1,B4GALT7,HS3ST2,EXT1,B3GAT3,B3GAT1,HEXA,GCNT2,GALNT5,HAS1,PXYLP1,B3GALT6,UGDH,HS3ST1,EXT2","GO"
"glycosaminoglycan catabolic process","IDS,SGSH,GUSB,HYAL2,IDUA,HYAL1,GNS,HYAL4,FUCA1","GO"
"glycosaminoglycan metabolic process","XYLT2,HEXB,XYLT1,B4GALT7,CLN6,FOXC1,HEXA,CHST9,B3GALT6","GO"
"glycoside catabolic process","GLA,NAGA,FUCA2,GBA2,GBA3,FUCA1","GO"
"glycoside metabolic process","TH","GO"
"glycosphingolipid biosynthetic process","A3GALT2,LARGE1,B4GALT6,FUT9,ST8SIA1,TM9SF2,FUT6,ST8SIA5,ST6GALNAC5,A4GALT,ST3GAL5,ST8SIA3","GO"
"glycosphingolipid catabolic process","GLA","GO"
"glycosphingolipid metabolic process","ST6GALNAC3,KIT,SMPD1,NEU3,UGT8,B3GALNT1,GLB1,SUMF1,UGCG,NEU2,ENPP7,ST6GALNAC6,B4GALNT1,GALC,CERK,GBA2,BAX,ABCA2,GBA3,CPTP,GLTP,CREM,GM2A","GO"
"glycosylation","COG6,CLN5,COG1,COG2,B4GALT6,B4GALT7,B4GALT5,GRM7,COG7,NANS,COG4,COG3,B4GALT2,B4GALT4,B4GALT3,COG8,COG5","GO"
"glycosylceramide catabolic process","GLA,GBA3,LCT","GO"
"glycosylceramide metabolic process","ST6GALNAC3,ST6GALNAC6","GO"
"glyoxal catabolic process","PARK7","GO"
"glyoxal metabolic process","PARK7","GO"
"glyoxalase (glycolic acid-forming) activity","PARK7","GO"
"glyoxalase III activity","GATD1","GO"
"glyoxylate catabolic process","AGXT,HOGA1,AGXT2","GO"
"glyoxylate cycle","IDH2,IDH1","GO"
"glyoxylate metabolic process","AGXT,MGAT4A,HOGA1,GRHPR,HYI","GO"
"guanine catabolic process","XDH,GDA","GO"
"guanine deglycation","PARK7","GO"
"guanine deglycation, glyoxal removal","PARK7","GO"
"guanine deglycation, methylglyoxal removal","PARK7","GO"
"guanine metabolic process","GDA,KDM1A","GO"
"guanine salvage","HPRT1,PRTFDC1","GO"
"guanosine metabolic process","DGUOK","GO"
"guanylate cyclase activity","GUCY1B2,GUCY2F,GUCY1A2,GUCY2C,NPR2,GUCY1B1,GUCY1A1,GUCY2D,NPR1","GO"
"guanylate kinase activity","MAGI3,DLG2,TJP2,CASK,CARD11,MPP1,LRGUK,GUK1,DLG1","GO"
"halogenated hydrocarbon metabolic process","CYP2E1","GO"
"heme A biosynthetic process","COX10,COX15","GO"
"heme B biosynthetic process","ABCB6","GO"
"heme biosynthetic process","FXN,SLC11A2,SRRD,ATP5IF1,UROS,UROD,PGRMC1,NFE2L1,ALAS2,TSPO,COX10,ALAS1,COX15,PPOX,TMEM14C,HMBS,SLC25A39,FLVCR1,SLC25A38,IBA57,CPOX,ABCB10,ALAD,FECH","GO"
"heme catabolic process","UGT1A4,BLVRA,BLVRB,SLCO2B1,HMOX2,SLCO1B1,SLCO1B3,ABCC1,ABCC2,AMBP,HMOX1","GO"
"heme metabolic process","ABCB6,HPX,SLC46A1,BDH2","GO"
"heme oxidation","HMOX2,HMOX1","GO"
"hemoglobin biosynthetic process","HIF1A,EPO,ALAS2,ALAS1,INHBA,INHA","GO"
"hemoglobin metabolic process","EPB42,HPX,CAT,AHSP","GO"
"heparan sulfate proteoglycan biosynthetic process","XYLT2,HS3ST4,EXTL3,NDST3,HS3ST3B1,EXTL1,XYLT1,DSE,EXTL2,EXT1,B3GAT3,GLCE,SLC35D2,B3GALT6,UGDH,EXT2","GO"
"heparan sulfate proteoglycan biosynthetic process, enzymatic modification","HS3ST3A1,NDST2,NDST1,HS3ST3B1,HS3ST5,HS6ST3,HS3ST2,HS3ST6,HS6ST1,HS3ST1,HS6ST2,HS2ST1","GO"
"heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process","NDST2,NDST1,NDST3,CSGALNACT1,EXT1,NDST4,EXT2,HS2ST1","GO"
"heparan sulfate proteoglycan catabolic process","IDS,GLB1,SGSH,GUSB,HPSE,IDUA,GPC1,NAGLU,HGSNAT","GO"
"heparan sulfate proteoglycan metabolic process","HS3ST4,SULF1,SULF2,NAGLU","GO"
"heparin biosynthetic process","XYLT2,NDST2,NDST1,NDST3,CSGALNACT1,ANGPT1,EXT1,GLCE,SLC10A7,NDST4,EXT2","GO"
"heparin catabolic process","IDUA","GO"
"heparin metabolic process","HPSE,NAGLU,EDNRA,EDNRB,HS2ST1","GO"
"hepoxilin biosynthetic process","ALOX12B,GSTM2,ALOX12,ALOX15B,GSTM1,ALOX15,ALOXE3,ALOX5,GSTP1","GO"
"heterocycle metabolic process","CYP2D6,UGT1A1,CYP2E1,CYP1A2,CYP2C19,CYP3A4","GO"
"hexadecanal metabolic process","ALDH3A2","GO"
"hexokinase activity","HK3,HK2,HK1","GO"
"hexose biosynthetic process","CHST15","GO"
"histamine biosynthetic process","PRG3,HDC","GO"
"histamine catabolic process","HNMT","GO"
"histamine metabolic process","SLC22A3,TRH,SLC29A4,HNMT","GO"
"histidine biosynthetic process","MTHFD1,MTHFD2L","GO"
"histidine catabolic process","HAL,CARNMT1,HNMT,HDC,AMDHD1,CARNS1,UROC1","GO"
"histidine catabolic process to glutamate and formamide","HAL,FTCD,AMDHD1,UROC1","GO"
"histidine catabolic process to glutamate and formate","HAL,FTCD,AMDHD1,UROC1","GO"
"histidine metabolic process","HDC","GO"
"histidyl-tRNA aminoacylation","HARS1,HARS2","GO"
"histone H3 acetylation","KAT2B,KAT2A","GO"
"histone H3 deacetylation","SIRT1","GO"
"histone H3-K27 demethylation","UTY,KDM6B,KDM6A","GO"
"histone H3-K4 methylation","ASH2L,WDR5,WDR5B","GO"
"histone H3-K79 methylation","DOT1L","GO"
"histone H3-R26 methylation","PRDM14","GO"
"histone H3R17 arginine deiminase activity","PADI4","GO"
"histone H3R2 arginine deiminase activity","PADI4","GO"
"histone H3R26 arginine deiminase activity","PADI4,PADI2","GO"
"histone H3R8 arginine deiminase activity","PADI4","GO"
"histone acetylation","CPA4,PHF10,KAT5,EP300,KAT7,KAT6B,CREBBP,KAT6A,KAT8","GO"
"histone arginine deiminase activity","PADI4,PADI2","GO"
"histone deacetylation","HDAC11,SIRT2,SIRT4,HDAC8,HDAC6,HDAC2,HDAC3,HDAC1,SIRT7","GO"
"histone lysine methylation","SMYD1,SMYD2,EHMT2,SMYD3","GO"
"histone mRNA catabolic process","UPF1,XRN1,TUT4,TENT4B,EXOSC4,TENT2,DCP2,EXOSC10,MTPAP,LSM1,ATM,TUT1,TUT7,ERI1","GO"
"histone mRNA metabolic process","SSB,NCBP2,MBLAC1,NCBP1","GO"
"histone methylation","CARM1","GO"
"histone modification","AURKB,AURKC","GO"
"histone succinylation","DLST,OGDH,KAT2A,DLD","GO"
"homocysteine catabolic process","CBS,MTRR,BLMH","GO"
"homocysteine metabolic process","MMUT,MTHFR,DPEP1,CPS1,MTR,CBS,NOX4,MTRR","GO"
